2010-2014,1-4,0.00022,0.00087,1.58,99778,87,398904,8223771,82.42
2010-2014,5-9,0.00010,0.00049,2.30,99692,49,498327,7824867,78.49
2010-2014,10-14,0.00009,0.00047,2.77,99643,47,498109,7326541,73.53
2010-2014,15-19,0.00023,0.00117,2.89,99596,116,497732,6828432,68.56
2010-2014,20-24,0.00042,0.00210,2.61,99479,209,496897,6330699,63.64
2010-2014,25-29,0.00047,0.00234,2.54,99270,232,495780,5833802,58.77
2010-2014,30-34,0.00056,0.00278,2.58,99038,275,494526,5338022,53.90
2010-2014,35-39,0.00075,0.00373,2.65,98763,368,492952,4843496,49.04
2010-2014,40-44,0.00113,0.00566,2.67,98396,557,490683,4350544,44.21
2010-2014,45-49,0.00176,0.00878,2.68,97839,859,487202,3859861,39.45
2010-2014,50-54,0.00278,0.01380,2.67,96980,1338,481776,3372660,34.78
2010-2014,55-59,0.00422,0.02090,2.67,95642,1999,473543,2890884,30.23
2010-2014,60-64,0.00656,0.03231,2.65,93643,3026,461117,2417341,25.81
2010-2014,65-69,0.00993,0.04853,2.64,90617,4397,442728,1956223,21.59
2010-2014,70-74,0.01539,0.07427,2.66,86220,6404,416124,1513495,17.55
2010-2014,75-79,0.02657,0.12513,2.68,79816,9988,375943,1097371,13.75
2010-2014,80-84,0.04835,0.21697,2.64,69828,15151,313386,721428,10.33
2010-2014,85-89,0.08652,0.35713,2.56,54678,19527,225681,408042,7.46
2010-2014,90-94,0.15241,0.54634,2.41,35151,19204,126003,182361,5.19
2010-2014,95-99,0.25493,0.74145,2.18,15946,11823,46380,56359,3.53
2010-2014,100-104,0.39884,0.88515,1.86,4123,3649,9150,9978,2.42